,name,time,month,day,hourly_temperature,hourly_wind_speed
44107,"BINGHAMTON GREATER AP, NY US",01,01,14,-6.2,4.5
44108,"BINGHAMTON GREATER AP, NY US",02,01,14,-6.3,4.5
44109,"BINGHAMTON GREATER AP, NY US",03,01,14,-6.5,4.5
44110,"BINGHAMTON GREATER AP, NY US",04,01,14,-6.6,4.3
44111,"BINGHAMTON GREATER AP, NY US",05,01,14,-6.6,4.4
44112,"BINGHAMTON GREATER AP, NY US",06,01,14,-6.7,4.3
44113,"BINGHAMTON GREATER AP, NY US",07,01,14,-6.8,4.4
44114,"BINGHAMTON GREATER AP, NY US",08,01,14,-6.8,4.3
44115,"BINGHAMTON GREATER AP, NY US",09,01,14,-6.3,4.5
44116,"BINGHAMTON GREATER AP, NY US",10,01,14,-5.7,4.8
44117,"BINGHAMTON GREATER AP, NY US",11,01,14,-4.9,5.1
44118,"BINGHAMTON GREATER AP, NY US",12,01,14,-4.3,5.2
44119,"BINGHAMTON GREATER AP, NY US",13,01,14,-3.9,5.3
44120,"BINGHAMTON GREATER AP, NY US",14,01,14,-3.7,5.3
44121,"BINGHAMTON GREATER AP, NY US",15,01,14,-3.7,5.2
44122,"BINGHAMTON GREATER AP, NY US",16,01,14,-3.9,4.9
44123,"BINGHAMTON GREATER AP, NY US",17,01,14,-4.6,4.6
44124,"BINGHAMTON GREATER AP, NY US",18,01,14,-5.0,4.5
44125,"BINGHAMTON GREATER AP, NY US",19,01,14,-5.3,4.5
44126,"BINGHAMTON GREATER AP, NY US",20,01,14,-5.6,4.6
44127,"BINGHAMTON GREATER AP, NY US",21,01,14,-5.8,4.6
44128,"BINGHAMTON GREATER AP, NY US",22,01,14,-6.1,4.6
44129,"BINGHAMTON GREATER AP, NY US",23,01,14,-6.2,4.5
44130,"BINGHAMTON GREATER AP, NY US",24,01,15,-6.8,4.6
44131,"BINGHAMTON GREATER AP, NY US",01,01,15,-6.5,4.5
44132,"BINGHAMTON GREATER AP, NY US",02,01,15,-6.7,4.4
44133,"BINGHAMTON GREATER AP, NY US",03,01,15,-6.8,4.5
44134,"BINGHAMTON GREATER AP, NY US",04,01,15,-6.9,4.3
44135,"BINGHAMTON GREATER AP, NY US",05,01,15,-6.9,4.3
44136,"BINGHAMTON GREATER AP, NY US",06,01,15,-7.0,4.3
44137,"BINGHAMTON GREATER AP, NY US",07,01,15,-7.1,4.3
44138,"BINGHAMTON GREATER AP, NY US",08,01,15,-7.1,4.3
44139,"BINGHAMTON GREATER AP, NY US",09,01,15,-6.6,4.5
44140,"BINGHAMTON GREATER AP, NY US",10,01,15,-5.8,4.8
44141,"BINGHAMTON GREATER AP, NY US",11,01,15,-5.1,5.1
44142,"BINGHAMTON GREATER AP, NY US",12,01,15,-4.4,5.2
44143,"BINGHAMTON GREATER AP, NY US",13,01,15,-4.0,5.3
44144,"BINGHAMTON GREATER AP, NY US",14,01,15,-3.8,5.3
44145,"BINGHAMTON GREATER AP, NY US",15,01,15,-3.7,5.2
44146,"BINGHAMTON GREATER AP, NY US",16,01,15,-4.0,4.9
44147,"BINGHAMTON GREATER AP, NY US",17,01,15,-4.6,4.5
44148,"BINGHAMTON GREATER AP, NY US",18,01,15,-5.1,4.4
44149,"BINGHAMTON GREATER AP, NY US",19,01,15,-5.4,4.4
44150,"BINGHAMTON GREATER AP, NY US",20,01,15,-5.7,4.6
44151,"BINGHAMTON GREATER AP, NY US",21,01,15,-5.9,4.5
44152,"BINGHAMTON GREATER AP, NY US",22,01,15,-6.1,4.5
44153,"BINGHAMTON GREATER AP, NY US",23,01,15,-6.3,4.4
44154,"BINGHAMTON GREATER AP, NY US",24,01,16,-6.8,4.6
44155,"BINGHAMTON GREATER AP, NY US",01,01,16,-6.6,4.5
44156,"BINGHAMTON GREATER AP, NY US",02,01,16,-6.7,4.4
44157,"BINGHAMTON GREATER AP, NY US",03,01,16,-6.8,4.4
44158,"BINGHAMTON GREATER AP, NY US",04,01,16,-6.9,4.3
